text,label,spacy_label
analysis for antibody to nocardia (bacteria),,
anesthesia for liver transplant recipient including use of an endoscope,anesthesia,liver
testing for presence of 31 prescription drugs in urine,,urine
removal of vocal cord growths with tissue flap repair using an endoscope with operating microscope or telescope,,cord tissue
voice box procedure,,
test for detecting genes associated with cancer,,cancer
removal of sac that covers the heart,heart,sac heart
"5% dextrose in lactated ringers infusion, up to 1000 cc",,lactated ringers
"revision of upper stomach bypass, open procedure",stomach,stomach
anesthesia for repair of bulging (aneurysm) defect in upper arm artery,artery anesthesia,upper arm artery
manual white blood cell count and evaluation,,blood cell
repair of membrane covering the brain,brain,membrane brain
anesthesia for vaginal removal of uterus,anesthesia uterus,vaginal uterus
removal of growth of tissue of mouth,,tissue
repair of blood vessel of arm with graft,,blood vessel graft
closed treatment of collar bone fracture,fracture,collar bone
closed treatment of fracture and/or dislocation of pelvis and/or sacrum with manipulation,fracture pelvis,pelvis sacrum
removal of growth of peripheral nerve,nerve,peripheral nerve
implantation of nerve end into bone or muscle,nerve,nerve bone muscle
removal of sympathetic radial (lower arm) artery nerve,artery nerve,sympathetic radial
closed treatment of knee cap fracture,fracture knee,
"diagnostic aspiration of spinal disc or tissue, accessed through the skin",,spinal tissue skin
"cast supplies, long leg splint, adult (11 years +), plaster",,leg
removal of eyelid growth under general anesthesia and/or requiring hospitalization,anesthesia,eyelid
removal of intact breast implant,breast,breast
"injection, risperidone, long acting, 0.5 mg",,risperidone
suture of non-obstetrical injury of the vagina and/or skin,,vagina skin
ultrasound of eye foreign body localization,ultrasound eye,eye
detection test for rubeola (measles virus),,
incision of ankle joint capsule to correct foot deformity,incision foot,
impression and custom preparation of nasal prosthesis,nasal,nasal
"removal of infected skin, tissue or muscle of abdomen",abdomen,skin tissue muscle abdomen
microscopy of lesion of skin with interpretation and report,,skin
"incision, aspiration, and inflation of eardrum under anesthesia",anesthesia,eardrum
"dermagraft, per square centimeter",,
intestine imaging,,intestine
repair of fibrous tissue of foot using an endoscope,foot,fibrous tissue
creation of a tear drainage tract to the nasal cavity with insertion of tube or stent,nasal tube,nasal cavity tube
unclassified drugs or biologicals,,
removal (3 centimeters or greater) tissue growth beneath the skin of leg or ankle,,tissue skin leg
anesthesia for open amputation at upper two-thirds of thigh bone,anesthesia,upper thigh bone
removal of excessive skin of lower eyelid and fat around eye,eye,skin eyelid fat eye
placement of stent in small bowel using an endoscope which is inserted through abdominal opening,abdominal,bowel abdominal
closed treatment of shoulder dislocation with manipulation,shoulder,
partial removal of throat,,throat
incision and exploration of chest cavity,incision chest,chest cavity
"injection, calcitriol, 0.1 mcg",,calcitriol
"instillation, hexaminolevulinate hydrochloride, 100 mg",,hexaminolevulinate hydrochloride
removal of single anal polyp or growth using an endoscope,,anal polyp
removal of chest cavity lining,chest,chest cavity
removal of esophagus and partial removal of stomach using an endoscope,esophagus stomach,esophagus stomach
removal of growth of tendon covering or joint capsule of foot,foot tendon,joint capsule
release of nerve requiring use of operating microscope,nerve,nerve
anesthesia for surgery of facial bones or skull,surgery anesthesia,facial bones
"injection, dexrazoxane hydrochloride, per 250 mg",,dexrazoxane hydrochloride
anesthesia for removal of breast and lymph nodes,anesthesia breast,breast lymph nodes
"suture of peripheral nerve, arm or leg",,peripheral nerve
"plastic repair of anal stricture, adult",,anal stricture
removal of esophagus tissue using an endoscope,esophagus,esophagus tissue
"acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram",,acetylcysteine dme
"gene analysis (neuroendocrine tumors), genomic sequence",,neuroendocrine tumors
"gene analysis (neuroendocrine tumors), duplication and deletion variants",,neuroendocrine tumors
"extraction, erupted tooth or exposed root (elevation and/or forceps removal)",,root
"injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",,
"injection, factor ix, albumin fusion protein, (recombinant), idelvion, 1 i.u.",,albumin
"injection, factor viii fc fusion protein (recombinant), per iu",,
"injection, factor viii, (antihemophilic factor, recombinant), pegylated, 1 i.u.",,
application of long or short leg clubfoot cast,,leg
ocular implant,,ocular
removal of end portion of stomach with attachment to small bowel,stomach,stomach bowel
incisional removal of eyelashes,,
"gene analysis (phosphatase and tensin homolog), known familial variant",,tensin homolog
ultrasound of fetal heart blood flow,ultrasound heart,fetal heart blood
ultrasound of fetal heart,ultrasound heart,fetal heart
removal of malignant growth of jaw bone,,jaw bone
partial removal of lung tissue for diagnostic examination,,lung tissue
removal of bony growths of ear canal,,bony growths ear canal
incision and exploration of wrist joint,incision,
"revision and removal of prosthetic vaginal graft, open procedure",,
"injection, rasburicase, 0.5 mg",,rasburicase
removal of foreign body or stone from kidney or urinary duct (ureter) using an endoscopy which is inserted through an already created urinary duct (ureter) opening,endoscopy,stone kidney urinary duct urinary duct
laser destruction of prostate including control of bleeding using an endoscope,bleeding prostate,prostate
removal of (less than 2 centimeters) muscle growth of face and scalp,,muscle face scalp
removal (less than 5 centimeters) muscle growth of back or flank,,muscle flank
removal of blood clot from eye,eye,blood clot eye
"evaluation, recording, and interpretation of voice box sensory function using an endoscope",,
removal of spine bone with severing of nerve roots,spine nerve,spine bone roots
bowel procedure using an endoscope,,bowel
"measurement and graphic recording of amount and speed of breathed air including transmission of tracing, analysis, recalibration of device, physician review and interpretation over 30 days",,
removal of (less than 5 centimeters) tissue growth of pelvis or hip,pelvis,tissue pelvis
drainage or biopsy of brain or lesion,biopsy brain,biopsy brain
exploration of the brain,brain,brain
removal of foreign body from throat,,
excision of abnormal anal drainage tract,excision,anal
freezing destruction of anal growths,,anal
incision and drainage of female genital gland abscess,incision,
diagnostic eye examination under general anesthesia,anesthesia eye,eye
gene analysis (human platelet antigen 6) for common variant,,human platelet antigen 6
"injection, edaravone, 1 mg",,edaravone
incision of iris to improve eye fluid flow,incision eye,iris eye fluid
removal of nerve of foot muscle,foot nerve,nerve muscle
release of foot tendon,foot tendon,
revision of shunt from jugular vein to abdominal cavity,abdominal,jugular vein abdominal cavity
bypass operation of stomach with reconstruction of small bowel using an endoscope,stomach,stomach bowel
instillations of drug into kidney and/or urinary duct (ureter),,kidney urinary duct
removal of tumor urinary duct (ureter) or kidney using an endoscope,tumor,tumor urinary duct kidney
incision of shin bone,incision,shin bone
"amnioexcel, amnioexcel plus or biodexcel, per square centimeter",,
gene analysis of targeted sequences for warfarin drug response,,warfarin
gene analysis (breast cancer 1) of full sequence,,breast cancer 1
gene analysis (breast cancer 2) of full sequence,,breast cancer 2
repair of joint capsule of hand and finger,,joint capsule
"removal of calcium deposits at rotator cuff tendons, open procedure",,calcium
"removal of tissue and/or bone at elbow with tendon repair, open procedure",tendon,tissue bone
insertion of catheters into breast for radiation therapy with or after breast removal using imaging guidance,breast,catheters breast breast
"neoxflo or clarixflo, 1 mg",,
studies of the spontaneous stomach movement function,stomach,stomach
"matristem micromatrix, 1 mg",,
chemotherapy injection into brain through reservoir beneath the skin,brain injection,brain skin
"drainage of abscess, cyst, or blood accumulation of dental bone",,blood bone
bone graft of upper thigh bone and hip joint,,bone graft upper thigh
"injection, immune globulin (bivigam), 500 mg",,globulin
cell enumeration using immunologic selection and identification in fluid specimen,,cell
"injection, acetaminophen, 10 mg",,acetaminophen
"injection, acetylcysteine, 100 mg",,acetylcysteine
anesthesia for open procedure on pubic bone or sacroiliac joint,anesthesia,pubic bone
"battery, other than lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only",ventricular,ventricular
